Skip    SntNumPen   UnionScore  Precision Recall    F1        Match   Alignments  Gold      
-0.6    0.02        0.9         0.9398    0.9069    0.9231    3011    3204        3320      
-0.6    0.02        0.95        0.9398    0.9069    0.9231    3011    3204        3320      
-0.6    0.02        1.0         0.9398    0.9069    0.9231    3011    3204        3320      
-0.5    0.02        0.0         0.9398    0.9069    0.9231    3011    3204        3320      
-0.5    0.02        0.05        0.9398    0.9069    0.9231    3011    3204        3320      
-0.5    0.02        0.1         0.9398    0.9069    0.9231    3011    3204        3320      
-0.5    0.02        0.15        0.9398    0.9069    0.9231    3011    3204        3320      
-0.5    0.02        0.2         0.9398    0.9069    0.9231    3011    3204        3320      
-0.5    0.02        0.25        0.9398    0.9069    0.9231    3011    3204        3320      
-0.5    0.02        0.3         0.9398    0.9069    0.9231    3011    3204        3320      
-0.5    0.02        0.35        0.9398    0.9069    0.9231    3011    3204        3320      
-0.5    0.02        0.4         0.9398    0.9069    0.9231    3011    3204        3320      
-0.5    0.02        0.45        0.9398    0.9069    0.9231    3011    3204        3320      
-0.5    0.02        0.5         0.9398    0.9069    0.9231    3011    3204        3320      
-0.5    0.02        0.55        0.9398    0.9069    0.9231    3011    3204        3320      
-0.5    0.02        0.6         0.9398    0.9069    0.9231    3011    3204        3320      
-0.5    0.02        0.65        0.9398    0.9069    0.9231    3011    3204        3320      
-0.5    0.02        0.7         0.9398    0.9069    0.9231    3011    3204        3320      
-0.5    0.02        0.75        0.9398    0.9069    0.9231    3011    3204        3320      
-0.5    0.02        0.8         0.9398    0.9069    0.9231    3011    3204        3320      
-0.5    0.02        0.85        0.9398    0.9069    0.9231    3011    3204        3320      
-0.5    0.02        0.9         0.9398    0.9069    0.9231    3011    3204        3320      
-0.5    0.02        0.95        0.9398    0.9069    0.9231    3011    3204        3320      
-0.5    0.02        1.0         0.9398    0.9069    0.9231    3011    3204        3320      
-0.4    0.02        0.0         0.9398    0.9069    0.9231    3011    3204        3320      
-0.4    0.02        0.05        0.9398    0.9069    0.9231    3011    3204        3320      
-0.4    0.02        0.1         0.9398    0.9069    0.9231    3011    3204        3320      
-0.4    0.02        0.15        0.9398    0.9069    0.9231    3011    3204        3320      
-0.4    0.02        0.2         0.9398    0.9069    0.9231    3011    3204        3320      
-0.4    0.02        0.25        0.9398    0.9069    0.9231    3011    3204        3320      
-0.4    0.02        0.3         0.9398    0.9069    0.9231    3011    3204        3320      
-0.4    0.02        0.35        0.9398    0.9069    0.9231    3011    3204        3320      
-0.4    0.02        0.4         0.9398    0.9069    0.9231    3011    3204        3320      
-0.4    0.02        0.45        0.9398    0.9069    0.9231    3011    3204        3320      
-0.4    0.02        0.5         0.9398    0.9069    0.9231    3011    3204        3320      
-0.4    0.02        0.55        0.9398    0.9069    0.9231    3011    3204        3320      
-0.4    0.02        0.6         0.9398    0.9069    0.9231    3011    3204        3320      
-0.4    0.02        0.65        0.9398    0.9069    0.9231    3011    3204        3320      
-0.4    0.02        0.7         0.9398    0.9069    0.9231    3011    3204        3320      
-0.4    0.02        0.75        0.9398    0.9069    0.9231    3011    3204        3320      
-0.4    0.02        0.8         0.9398    0.9069    0.9231    3011    3204        3320      
-0.4    0.02        0.85        0.9398    0.9069    0.9231    3011    3204        3320      
-0.4    0.02        0.9         0.9398    0.9069    0.9231    3011    3204        3320      
-0.4    0.02        0.95        0.9398    0.9069    0.9231    3011    3204        3320      
-0.4    0.02        1.0         0.9398    0.9069    0.9231    3011    3204        3320      
-0.1    0.02        0.15        0.9381    0.9084    0.9230    3016    3215        3320      
-0.1    0.02        0.2         0.9381    0.9084    0.9230    3016    3215        3320      
-0.1    0.02        0.25        0.9381    0.9084    0.9230    3016    3215        3320      
-0.1    0.02        0.3         0.9381    0.9084    0.9230    3016    3215        3320      
-0.1    0.02        0.35        0.9381    0.9084    0.9230    3016    3215        3320      
-0.1    0.02        0.4         0.9381    0.9084    0.9230    3016    3215        3320      
-0.1    0.02        0.45        0.9381    0.9084    0.9230    3016    3215        3320      
-0.1    0.02        0.5         0.9381    0.9084    0.9230    3016    3215        3320      
-0.1    0.02        0.55        0.9381    0.9084    0.9230    3016    3215        3320      
-0.1    0.02        0.6         0.9381    0.9084    0.9230    3016    3215        3320      
-0.1    0.02        0.65        0.9381    0.9084    0.9230    3016    3215        3320      
-0.1    0.02        0.7         0.9381    0.9084    0.9230    3016    3215        3320      
-0.1    0.02        0.75        0.9381    0.9084    0.9230    3016    3215        3320      
-0.1    0.02        0.8         0.9381    0.9084    0.9230    3016    3215        3320      
-0.1    0.02        0.85        0.9381    0.9084    0.9230    3016    3215        3320      
-0.1    0.02        0.9         0.9381    0.9084    0.9230    3016    3215        3320      
-0.1    0.02        0.95        0.9381    0.9084    0.9230    3016    3215        3320      
-0.1    0.02        1.0         0.9381    0.9084    0.9230    3016    3215        3320      
-0.2    0.04        0.1         0.9338    0.9045    0.9189    3003    3216        3320      
-0.2    0.04        0.15        0.9338    0.9045    0.9189    3003    3216        3320      
-0.2    0.04        0.2         0.9338    0.9045    0.9189    3003    3216        3320      
-0.2    0.04        0.25        0.9338    0.9045    0.9189    3003    3216        3320      
-0.2    0.04        0.3         0.9338    0.9045    0.9189    3003    3216        3320      
-0.2    0.04        0.35        0.9338    0.9045    0.9189    3003    3216        3320      
-0.2    0.04        0.4         0.9338    0.9045    0.9189    3003    3216        3320      
-0.2    0.04        0.45        0.9338    0.9045    0.9189    3003    3216        3320      
-0.2    0.04        0.5         0.9338    0.9045    0.9189    3003    3216        3320      
-0.2    0.04        0.55        0.9338    0.9045    0.9189    3003    3216        3320      
-0.2    0.04        0.6         0.9338    0.9045    0.9189    3003    3216        3320      
-0.2    0.04        0.65        0.9338    0.9045    0.9189    3003    3216        3320      
-0.2    0.04        0.7         0.9338    0.9045    0.9189    3003    3216        3320      
-0.2    0.04        0.75        0.9338    0.9045    0.9189    3003    3216        3320      
-0.2    0.04        0.8         0.9338    0.9045    0.9189    3003    3216        3320      
-0.2    0.04        0.85        0.9338    0.9045    0.9189    3003    3216        3320      
-0.2    0.04        0.9         0.9338    0.9045    0.9189    3003    3216        3320      
-0.2    0.04        0.95        0.9338    0.9045    0.9189    3003    3216        3320      
-0.2    0.04        1.0         0.9338    0.9045    0.9189    3003    3216        3320      
-0.2    0.04        0.0         0.9335    0.9042    0.9186    3002    3216        3320      
-0.2    0.04        0.05        0.9335    0.9042    0.9186    3002    3216        3320      
-1.0    0.04        0.1         0.9331    0.9033    0.9180    2999    3214        3320      
-1.0    0.04        0.15        0.9331    0.9033    0.9180    2999    3214        3320      
-1.0    0.04        0.2         0.9331    0.9033    0.9180    2999    3214        3320      
-1.0    0.04        0.25        0.9331    0.9033    0.9180    2999    3214        3320      
-1.0    0.04        0.3         0.9331    0.9033    0.9180    2999    3214        3320      
-1.0    0.04        0.35        0.9331    0.9033    0.9180    2999    3214        3320      
-1.0    0.04        0.4         0.9331    0.9033    0.9180    2999    3214        3320      
-1.0    0.04        0.45        0.9331    0.9033    0.9180    2999    3214        3320      
-1.0    0.04        0.5         0.9331    0.9033    0.9180    2999    3214        3320      
-1.0    0.04        0.55        0.9331    0.9033    0.9180    2999    3214        3320      
-1.0    0.04        0.6         0.9331    0.9033    0.9180    2999    3214        3320      
-1.0    0.04        0.65        0.9331    0.9033    0.9180    2999    3214        3320      
-1.0    0.04        0.7         0.9331    0.9033    0.9180    2999    3214        3320      
-1.0    0.04        0.75        0.9331    0.9033    0.9180    2999    3214        3320      
-1.0    0.04        0.8         0.9331    0.9033    0.9180    2999    3214        3320      
-1.0    0.04        0.85        0.9331    0.9033    0.9180    2999    3214        3320      
-1.0    0.04        0.9         0.9331    0.9033    0.9180    2999    3214        3320      
-1.0    0.04        0.95        0.9331    0.9033    0.9180    2999    3214        3320      
-1.0    0.04        1.0         0.9331    0.9033    0.9180    2999    3214        3320      
-0.9    0.04        0.1         0.9331    0.9033    0.9180    2999    3214        3320      
-0.9    0.04        0.15        0.9331    0.9033    0.9180    2999    3214        3320      
-0.9    0.04        0.2         0.9331    0.9033    0.9180    2999    3214        3320      
-0.9    0.04        0.25        0.9331    0.9033    0.9180    2999    3214        3320      
-0.9    0.04        0.3         0.9331    0.9033    0.9180    2999    3214        3320      
-0.9    0.04        0.35        0.9331    0.9033    0.9180    2999    3214        3320      
-0.9    0.04        0.4         0.9331    0.9033    0.9180    2999    3214        3320      
-0.9    0.04        0.45        0.9331    0.9033    0.9180    2999    3214        3320      
-0.9    0.04        0.5         0.9331    0.9033    0.9180    2999    3214        3320      
-0.9    0.04        0.55        0.9331    0.9033    0.9180    2999    3214        3320      
-0.9    0.04        0.6         0.9331    0.9033    0.9180    2999    3214        3320      
-0.9    0.04        0.65        0.9331    0.9033    0.9180    2999    3214        3320      
-0.9    0.04        0.7         0.9331    0.9033    0.9180    2999    3214        3320      
-0.9    0.04        0.75        0.9331    0.9033    0.9180    2999    3214        3320      
-0.9    0.04        0.8         0.9331    0.9033    0.9180    2999    3214        3320      
-0.9    0.04        0.85        0.9331    0.9033    0.9180    2999    3214        3320      
-0.9    0.04        0.9         0.9331    0.9033    0.9180    2999    3214        3320      
-0.9    0.04        0.95        0.9331    0.9033    0.9180    2999    3214        3320      
-0.9    0.04        1.0         0.9331    0.9033    0.9180    2999    3214        3320      
-0.8    0.04        0.1         0.9331    0.9033    0.9180    2999    3214        3320      
-0.8    0.04        0.15        0.9331    0.9033    0.9180    2999    3214        3320      
-0.8    0.04        0.2         0.9331    0.9033    0.9180    2999    3214        3320      
-0.8    0.04        0.25        0.9331    0.9033    0.9180    2999    3214        3320      
